year_stringteam_1_name,team_1_score,team_2_name,team_2_score,date_string
2011,Air Force,81.0,Florida A&M,48.0,Jan2
2011,Air Force,77.0,Utah,69.0,Jan5
2011,Air Force,66.0,Brigham Young,76.0,Jan8
2011,Air Force,52.0,Nevada-Las Vegas,64.0,Jan15
2011,Air Force,55.0,San Diego State,68.0,Jan19
2011,Air Force,72.0,Wyoming,51.0,Jan22
2011,Air Force,66.0,Colorado State,69.0,Jan26
2011,Air Force,66.0,Texas Christian,65.0,Jan29
2011,Air Force,61.0,New Mexico,75.0,Feb1
2011,Air Force,54.0,Utah,49.0,Feb5
2011,Air Force,52.0,Brigham Young,90.0,Feb9
2011,Air Force,42.0,Nevada-Las Vegas,49.0,Feb15
2011,Air Force,58.0,San Diego State,70.0,Feb19
2011,Air Force,61.0,Wyoming,63.0,Feb23
2011,Air Force,74.0,Colorado State,57.0,Feb26
2011,Air Force,70.0,Texas Christian,65.0,Mar2
2011,Air Force,61.0,New Mexico,66.0,Mar5
2011,Air Force,53.0,Nevada-Las Vegas,69.0,Mar10
2011,Air Force,77.0,North Dakota,67.0,Mar15
2011,Air Force,75.0,Santa Clara,88.0,Mar18
2011,Akron,89.0,Millikin,41.0,Nov12
2011,Akron,68.0,Dayton,76.0,Nov16
2011,Akron,91.0,Youngstown State,84.0,Nov20
2011,Akron,51.0,Cleveland State,64.0,Nov24
2011,Akron,77.0,Detroit Mercy,69.0,Dec1
2011,Akron,54.0,Illinois-Chicago,52.0,Dec4
2011,Akron,47.0,Temple,82.0,Dec12
2011,Akron,58.0,Minnesota,66.0,Dec15
2011,Akron,77.0,Bethune-Cookman,66.0,Dec18
2011,Akron,75.0,Arkansas-Little Rock,61.0,Dec21
2011,Akron,72.0,Stetson,56.0,Dec22
2011,Akron,61.0,Miami (FL),69.0,Dec23
2011,Akron,87.0,Arkansas-Pine Bluff,60.0,Dec29
2011,Akron,84.0,Oral Roberts,80.0,Jan3
2011,Akron,65.0,Kent State,62.0,Jan8
2011,Akron,70.0,Ohio,79.0,Jan12
2011,Akron,70.0,Buffalo,73.0,Jan16
2011,Akron,76.0,Miami (OH),84.0,Jan19
2011,Akron,63.0,Bowling Green State,58.0,Jan22
2011,Akron,74.0,Northern Illinois,83.0,Jan26
2011,Akron,63.0,Central Michigan,43.0,Jan30
2011,Akron,56.0,Eastern Michigan,60.0,Feb2
2011,Akron,59.0,Toledo,41.0,Feb5
2011,Akron,83.0,Western Michigan,71.0,Feb9
2011,Akron,75.0,Ball State,60.0,Feb12
2011,Akron,89.0,Bowling Green State,54.0,Feb15
2011,Akron,76.0,Creighton,67.0,Feb19
2011,Akron,72.0,Miami (OH),55.0,Feb23
2011,Akron,69.0,Buffalo,60.0,Feb26
2011,Akron,55.0,Ohio,80.0,Mar1
2011,Akron,68.0,Kent State,79.0,Mar4
2011,Akron,67.0,Eastern Michigan,53.0,Mar8
2011,Akron,82.0,Miami (OH),75.0,Mar10
2011,Akron,79.0,Western Michigan,68.0,Mar11
2011,Akron,66.0,Kent State,65.0,Mar12
2011,Akron,56.0,Notre Dame,69.0,Mar18
2011,Alabama A&M,93.0,Talladega,77.0,Nov13
2011,Alabama A&M,61.0,Western Kentucky,83.0,Nov15
2011,Alabama A&M,70.0,Tuskegee,67.0,Nov20
2011,Alabama A&M,50.0,Alabama,76.0,Nov27
2011,Alabama A&M,75.0,Martin Methodist,70.0,Dec4
2011,Alabama A&M,68.0,Tennessee State,74.0,Dec7
2011,Alabama A&M,49.0,Wichita State,71.0,Dec13
2011,Alabama A&M,40.0,Alabama-Birmingham,58.0,Dec19
2011,Alabama A&M,51.0,North Carolina State,82.0,Dec28
2011,Alabama A&M,70.0,Grambling,63.0,Jan4
2011,Alabama A&M,55.0,Jackson State,57.0,Jan6
2011,Alabama A&M,72.0,Mississippi Valley State,60.0,Jan8
2011,Alabama A&M,53.0,Arkansas-Pine Bluff,61.0,Jan10
2011,Alabama A&M,75.0,Alabama State,60.0,Jan15
2011,Alabama A&M,64.0,Alcorn State,55.0,Jan22
2011,Alabama A&M,68.0,Southern,58.0,Jan24
2011,Alabama A&M,61.0,Texas Southern,65.0,Jan29
2011,Alabama A&M,62.0,Prairie View,53.0,Jan31
2011,Alabama A&M,60.0,Mississippi Valley State,63.0,Feb5
2011,Alabama A&M,74.0,Arkansas-Pine Bluff,52.0,Feb7
2011,Alabama A&M,68.0,Alabama State,82.0,Feb12
2011,Alabama A&M,70.0,Alcorn State,68.0,Feb19
2011,Alabama A&M,64.0,Southern,45.0,Feb21
2011,Alabama A&M,78.0,Texas Southern,83.0,Feb26
2011,Alabama A&M,63.0,Prairie View,58.0,Feb28
2011,Alabama A&M,69.0,Grambling,76.0,Mar3
2011,Alabama A&M,64.0,Jackson State,72.0,Mar5
2011,Alabama A&M,61.0,Alabama State,81.0,Mar10
2011,Alabama-Birmingham,78.0,Southeast Missouri State,56.0,Nov13
2011,Alabama-Birmingham,76.0,Middle Tennessee,71.0,Nov17
2011,Alabama-Birmingham,66.0,Arizona State,69.0,Nov20
2011,Alabama-Birmingham,82.0,South Alabama,58.0,Nov23
2011,Alabama-Birmingham,70.0,Arkansas,65.0,Nov26
2011,Alabama-Birmingham,78.0,Troy,57.0,Nov29
2011,Alabama-Birmingham,59.0,Jacksonville State,53.0,Dec1
2011,Alabama-Birmingham,64.0,Georgia,66.0,Dec3
2011,Alabama-Birmingham,75.0,Kent State,59.0,Dec5
2011,Alabama-Birmingham,68.0,Virginia Commonwealth,65.0,Dec21
2011,Alabama-Birmingham,79.0,George Washington,44.0,Dec27
2011,Alabama-Birmingham,64.0,Duke,85.0,Jan5
2011,Alabama-Birmingham,100.0,Texas-El Paso,97.0,Jan8
2011,Alabama-Birmingham,62.0,Tulsa,78.0,Jan15
2011,Alabama-Birmingham,66.0,East Carolina,59.0,Jan17
2011,Alabama-Birmingham,67.0,Southern Methodist,53.0,Jan19
2011,Alabama-Birmingham,73.0,Memphis,76.0,Jan22
2011,Alabama-Birmingham,60.0,Marshall,56.0,Jan26
2011,Alabama-Birmingham,74.0,Central Florida,69.0,Jan29
2011,Alabama-Birmingham,71.0,Southern Mississippi,75.0,Feb2
2011,Alabama-Birmingham,47.0,Tulane,39.0,Feb5
2011,Alabama-Birmingham,64.0,Marshall,48.0,Feb9
2011,Alabama-Birmingham,74.0,Rice,68.0,Feb12
2011,Alabama-Birmingham,58.0,Memphis,62.0,Feb16
2011,Alabama-Birmingham,63.0,Central Florida,58.0,Feb19
2011,Alabama-Birmingham,68.0,Houston,55.0,Feb26
2011,Alabama-Birmingham,67.0,Southern Mississippi,66.0,Mar2
2011,Alabama-Birmingham,66.0,East Carolina,48.0,Mar5
2011,Alabama-Birmingham,70.0,East Carolina,75.0,Mar10
2011,Alabama-Birmingham,52.0,Clemson,70.0,Mar15
2011,Alabama State,57.0,Creighton,71.0,Nov12
2011,Alabama State,47.0,Iowa State,74.0,Nov14
2011,Alabama State,46.0,Northern Arizona,74.0,Nov16
2011,Alabama State,74.0,Kennesaw State,59.0,Nov20
2011,Alabama State,46.0,Loyola (IL),74.0,Nov22
2011,Alabama State,48.0,Central Florida,84.0,Nov27
2011,Alabama State,69.0,Tulane,84.0,Nov30
2011,Alabama State,53.0,Arkansas State,77.0,Dec11
2011,Alabama State,46.0,Mississippi State,67.0,Dec14
2011,Alabama State,54.0,Oakwood,49.0,Dec16
2011,Alabama State,53.0,Belmont,66.0,Dec20
2011,Alabama State,38.0,Southern Methodist,49.0,Dec22
2011,Alabama State,61.0,Albany State (GA),53.0,Dec30
2011,Alabama State,52.0,Jackson State,58.0,Jan4
2011,Alabama State,50.0,Grambling,47.0,Jan6
2011,Alabama State,68.0,Arkansas-Pine Bluff,62.0,Jan8
2011,Alabama State,70.0,Mississippi Valley State,74.0,Jan10
2011,Alabama State,52.0,Southern,64.0,Jan22
2011,Alabama State,81.0,Alcorn State,68.0,Jan24
2011,Alabama State,61.0,Prairie View,69.0,Jan29
2011,Alabama State,59.0,Texas Southern,73.0,Jan31
2011,Alabama State,60.0,Arkansas-Pine Bluff,48.0,Feb5
2011,Alabama State,90.0,Mississippi Valley State,63.0,Feb7
2011,Alabama State,63.0,Southern,50.0,Feb19
2011,Alabama State,62.0,Alcorn State,53.0,Feb21
2011,Alabama State,68.0,Prairie View,61.0,Feb26
2011,Alabama State,60.0,Texas Southern,48.0,Feb28
2011,Alabama State,63.0,Jackson State,53.0,Mar3
2011,Alabama State,73.0,Grambling,74.0,Mar5
2011,Alabama State,73.0,Texas Southern,66.0,Mar11
2011,Alabama State,65.0,Grambling,48.0,Mar12
2011,Alabama State,61.0,Texas-San Antonio,70.0,Mar16
2011,Alabama,76.0,Florida A&M,37.0,Nov12
2011,Alabama,79.0,Troy,60.0,Nov15
2011,Alabama,78.0,Seton Hall,83.0,Nov19
2011,Alabama,47.0,Iowa,55.0,Nov20
2011,Alabama,49.0,Saint Peter's,50.0,Nov22
2011,Alabama,72.0,South Alabama,50.0,Dec1
2011,Alabama,47.0,Purdue,66.0,Dec4
2011,Alabama,70.0,Providence,82.0,Dec11
2011,Alabama,59.0,Southeastern Louisiana,38.0,Dec15
2011,Alabama,60.0,Oklahoma State,68.0,Dec18
2011,Alabama,71.0,Lipscomb,51.0,Dec21
2011,Alabama,83.0,Pepperdine,60.0,Dec28
2011,Alabama,83.0,Toledo,41.0,Jan3
2011,Alabama,75.0,Mississippi State,57.0,Jan8
2011,Alabama,57.0,South Carolina,47.0,Jan12
2011,Alabama,65.0,Arkansas,70.0,Jan15
2011,Alabama,68.0,Kentucky,66.0,Jan18
2011,Alabama,68.0,Auburn,58.0,Jan22
2011,Alabama,70.0,Louisiana State,46.0,Jan29
2011,Alabama,75.0,Mississippi State,61.0,Feb2
2011,Alabama,65.0,Tennessee,60.0,Feb5
2011,Alabama,77.0,Vanderbilt,81.0,Feb10
2011,Alabama,74.0,Mississippi,64.0,Feb12
2011,Alabama,67.0,Louisiana State,56.0,Feb17
2011,Alabama,69.0,Arkansas,56.0,Feb19
2011,Alabama,51.0,Auburn,49.0,Feb23
2011,Alabama,63.0,Mississippi,68.0,Feb26
2011,Alabama,51.0,Florida,78.0,Mar1
2011,Alabama,65.0,Georgia,57.0,Mar5
2011,Alabama,65.0,Georgia,59.0,Mar11
2011,Alabama,58.0,Kentucky,72.0,Mar12
2011,Alabama,68.0,Coastal Carolina,44.0,Mar15
2011,Alabama,74.0,New Mexico,67.0,Mar21
2011,Alabama,79.0,Miami (FL),64.0,Mar23
2011,Alabama,62.0,Colorado,61.0,Mar29
2011,Alabama,57.0,Wichita State,66.0,Mar31
2011,Albany (NY),61.0,Cornell,65.0,Nov12
2011,Albany (NY),44.0,American,57.0,Nov15
2011,Albany (NY),51.0,Georgia Tech,78.0,Nov17
2011,Albany (NY),72.0,Fairleigh Dickinson,46.0,Nov20
2011,Albany (NY),65.0,Iona,86.0,Nov23
2011,Albany (NY),82.0,Detroit Mercy,84.0,Nov26
2011,Albany (NY),75.0,Niagara,65.0,Nov27
2011,Albany (NY),56.0,Bowling Green State,55.0,Nov28
2011,Albany (NY),88.0,Siena,82.0,Dec4
2011,Albany (NY),53.0,Yale,74.0,Dec6
2011,Albany (NY),64.0,Central Connecticut State,63.0,Dec11
2011,Albany (NY),77.0,Mount St. Mary's,57.0,Dec18
2011,Albany (NY),63.0,Colgate,61.0,Dec22
2011,Albany (NY),64.0,Xavier,88.0,Dec28
2011,Albany (NY),65.0,Wagner,80.0,Dec30
2011,Albany (NY),59.0,New Hampshire,44.0,Jan2
2011,Albany (NY),48.0,Vermont,60.0,Jan6
2011,Albany (NY),42.0,Hartford,62.0,Jan9
2011,Albany (NY),64.0,Maine,66.0,Jan12
2011,Albany (NY),67.0,Boston University,70.0,Jan15
2011,Albany (NY),52.0,Stony Brook,50.0,Jan17
2011,Albany (NY),76.0,Binghamton,37.0,Jan20
2011,Albany (NY),66.0,Maryland-Baltimore County,63.0,Jan26
2011,Albany (NY),54.0,Vermont,63.0,Jan29
2011,Albany (NY),59.0,New Hampshire,62.0,Feb2
2011,Albany (NY),62.0,Hartford,59.0,Feb5
2011,Albany (NY),44.0,Boston University,63.0,Feb10
2011,Albany (NY),58.0,Stony Brook,43.0,Feb14
2011,Albany (NY),57.0,Binghamton,54.0,Feb20
2011,Albany (NY),83.0,Maryland-Baltimore County,67.0,Feb23
2011,Albany (NY),81.0,Maine,77.0,Feb27
2011,Albany (NY),61.0,Stony Brook,67.0,Mar5
2011,Alcorn State,56.0,Texas A&M,88.0,Nov12
2011,Alcorn State,68.0,Houston,88.0,Nov14
2011,Alcorn State,48.0,Purdue,103.0,Nov17
2011,Alcorn State,51.0,Colorado,91.0,Nov23
2011,Alcorn State,51.0,Denver,69.0,Nov24
2011,Alcorn State,71.0,Southern Mississippi,100.0,Dec1
2011,Alcorn State,55.0,Kansas State,89.0,Dec6
2011,Alcorn State,57.0,Nebraska,78.0,Dec8
2011,Alcorn State,76.0,South Alabama,86.0,Dec21
2011,Alcorn State,62.0,Mississippi,100.0,Dec30
2011,Alcorn State,66.0,Prairie View,68.0,Jan4
2011,Alcorn State,66.0,Texas Southern,79.0,Jan6
2011,Alcorn State,64.0,Jackson State,90.0,Jan8
2011,Alcorn State,75.0,Grambling,73.0,Jan10
2011,Alcorn State,70.0,Mississippi Valley State,87.0,Jan15
2011,Alcorn State,74.0,Arkansas-Pine Bluff,81.0,Jan17
2011,Alcorn State,70.0,Southern,63.0,Jan29
2011,Alcorn State,81.0,Jackson State,75.0,Feb5
2011,Alcorn State,60.0,Grambling,61.0,Feb7
2011,Alcorn State,83.0,Mississippi Valley State,91.0,Feb12
2011,Alcorn State,62.0,Arkansas-Pine Bluff,72.0,Feb14
2011,Alcorn State,83.0,Southern,74.0,Feb26
2011,Alcorn State,77.0,Prairie View,96.0,Mar3
2011,Alcorn State,68.0,Texas Southern,79.0,Mar5
2011,American,62.0,Saint Francis (PA),52.0,Nov12
2011,American,65.0,Maryland-Eastern Shore,58.0,Nov17
2011,American,82.0,Florida Atlantic,72.0,Nov20
2011,American,66.0,Howard,54.0,Nov23
2011,American,62.0,Columbia,64.0,Nov28
2011,American,50.0,West Virginia,71.0,Dec1
2011,American,48.0,Florida,67.0,Dec5
2011,American,66.0,Maryland-Baltimore County,53.0,Dec14
2011,American,62.0,Northwestern,78.0,Dec16
2011,American,69.0,Mount St. Mary's,64.0,Dec20
2011,American,46.0,Pittsburgh,61.0,Dec22
2011,American,73.0,Fordham,57.0,Dec29
2011,American,83.0,Delaware,71.0,Dec30
2011,American,77.0,Brown,67.0,Jan3
2011,American,82.0,Lehigh,75.0,Jan8
2011,American,60.0,Bucknell,75.0,Jan12
2011,American,66.0,Colgate,57.0,Jan15
2011,American,65.0,Army,62.0,Jan19
2011,American,60.0,Holy Cross,57.0,Jan22
2011,American,53.0,Navy,72.0,Jan26
2011,American,73.0,Lafayette,60.0,Jan29
2011,American,62.0,Lehigh,61.0,Feb6
2011,American,60.0,Bucknell,66.0,Feb9
2011,American,69.0,Colgate,60.0,Feb12
2011,American,65.0,Army,59.0,Feb16
2011,American,64.0,Holy Cross,60.0,Feb20
2011,American,69.0,Navy,58.0,Feb23
2011,American,95.0,Lafayette,92.0,Feb26
2011,American,69.0,Colgate,53.0,Mar2
2011,American,71.0,Lafayette,73.0,Mar6
2011,Appalachian State,89.0,Tulsa,86.0,Nov12
2011,Appalachian State,101.0,Montreat,71.0,Nov16
2011,Appalachian State,74.0,Mississippi State,76.0,Nov19
2011,Appalachian State,73.0,Vanderbilt,86.0,Nov27
2011,Appalachian State,69.0,Chattanooga,81.0,Dec2
2011,Appalachian State,78.0,Samford,69.0,Dec4
2011,Appalachian State,60.0,Georgetown,89.0,Dec12
2011,Appalachian State,71.0,Robert Morris,66.0,Dec18
2011,Appalachian State,79.0,Colorado State,82.0,Dec22
2011,Appalachian State,68.0,Texas State,79.0,Dec23
2011,Appalachian State,51.0,East Tennessee State,79.0,Dec24
2011,Appalachian State,91.0,Milligan,71.0,Dec30
2011,Appalachian State,74.0,Davidson,66.0,Jan5
2011,Appalachian State,79.0,Georgia Southern,51.0,Jan8
2011,Appalachian State,74.0,North Carolina-Greensboro,75.0,Jan13
2011,Appalachian State,78.0,Western Carolina,79.0,Jan15
2011,Appalachian State,79.0,Elon,71.0,Jan17
2011,Appalachian State,63.0,Citadel,81.0,Jan20
2011,Appalachian State,64.0,College of Charleston,73.0,Jan22
2011,Appalachian State,65.0,Wofford,74.0,Jan27
2011,Appalachian State,61.0,Furman,81.0,Jan29
2011,Appalachian State,80.0,North Carolina-Greensboro,78.0,Feb2
2011,Appalachian State,68.0,Elon,62.0,Feb5
2011,Appalachian State,65.0,Samford,59.0,Feb10
2011,Appalachian State,78.0,Chattanooga,68.0,Feb12
2011,Appalachian State,75.0,Western Carolina,80.0,Feb17
2011,Appalachian State,82.0,High Point,81.0,Feb19
2011,Appalachian State,85.0,College of Charleston,70.0,Feb24
2011,Appalachian State,70.0,Citadel,59.0,Feb26
2011,Appalachian State,65.0,Georgia Southern,57.0,Mar4
2011,Appalachian State,56.0,Wofford,69.0,Mar5
2011,Arizona State,62.0,New Mexico,76.0,Nov16
2011,Arizona State,73.0,Houston Baptist,55.0,Nov25
2011,Arizona State,59.0,Weber State,58.0,Nov26
2011,Arizona State,58.0,St. John's (NY),67.0,Nov27
2011,Arizona State,54.0,Baylor,68.0,Dec2
2011,Arizona State,61.0,Richmond,67.0,Dec5
2011,Arizona State,71.0,Gardner-Webb,48.0,Dec11
2011,Arizona State,78.0,Nevada,75.0,Dec17
2011,Arizona State,72.0,Long Beach State,55.0,Dec21
2011,Arizona State,56.0,North Carolina A&T,50.0,Dec23
2011,Arizona State,58.0,Oregon State,80.0,Dec30
2011,Arizona State,60.0,Oregon,55.0,Jan1
2011,Arizona State,41.0,Stanford,55.0,Jan6
2011,Arizona State,61.0,University of California,65.0,Jan8
2011,Arizona State,69.0,Tulsa,59.0,Jan12
2011,Arizona State,69.0,Arizona,80.0,Jan15
2011,Arizona State,61.0,Washington State,78.0,Jan20
2011,Arizona State,75.0,Washington,88.0,Jan22
2011,Arizona State,61.0,Southern California,63.0,Jan27
2011,Arizona State,72.0,UCLA,73.0,Jan29
2011,Arizona State,62.0,University of California,66.0,Feb3
2011,Arizona State,75.0,Stanford,83.0,Feb5
2011,Arizona State,52.0,Arizona,67.0,Feb13
2011,Arizona State,62.0,Washington,79.0,Feb17
2011,Arizona State,71.0,Washington State,69.0,Feb19
2011,Arizona State,53.0,UCLA,71.0,Feb24
2011,Arizona State,46.0,Southern California,62.0,Feb26
2011,Arizona State,73.0,Oregon,53.0,Mar3
2011,Arizona State,80.0,Oregon State,66.0,Mar5
2011,Arizona State,69.0,Oregon,76.0,Mar9
2011,Arizona,90.0,Idaho State,42.0,Nov14
2011,Arizona,83.0,New Mexico State,57.0,Nov18
2011,Arizona,93.0,Northern Colorado,70.0,Nov21
2011,Arizona,78.0,Bethune-Cookman,45.0,Nov23
2011,Arizona,82.0,Santa Clara,59.0,Nov26
2011,Arizona,79.0,Kansas,87.0,Nov27
2011,Arizona,84.0,Rice,57.0,Dec1
2011,Arizona,83.0,Oklahoma,60.0,Dec5
2011,Arizona,73.0,Cal State Fullerton,62.0,Dec8
2011,Arizona,65.0,Brigham Young,87.0,Dec11
2011,Arizona,63.0,Northern Arizona,58.0,Dec16
2011,Arizona,72.0,North Carolina State,62.0,Dec19
2011,Arizona,82.0,Robert Morris,56.0,Dec22
2011,Arizona,76.0,Oregon,57.0,Dec30
2011,Arizona,75.0,Oregon State,76.0,Jan2
2011,Arizona,73.0,University of California,71.0,Jan6
2011,Arizona,67.0,Stanford,57.0,Jan9
2011,Arizona,68.0,Washington,85.0,Jan20
2011,Arizona,65.0,Washington State,63.0,Jan22
2011,Arizona,85.0,UCLA,74.0,Jan27
2011,Arizona,82.0,Southern California,73.0,Jan29
2011,Arizona,78.0,Stanford,69.0,Feb3
2011,Arizona,107.0,University of California,105.0,Feb5
2011,Arizona,79.0,Washington State,70.0,Feb17
2011,Arizona,87.0,Washington,86.0,Feb19
2011,Arizona,57.0,Southern California,65.0,Feb24
2011,Arizona,49.0,UCLA,71.0,Feb26
2011,Arizona,70.0,Oregon State,59.0,Mar3
2011,Arizona,90.0,Oregon,82.0,Mar5
2011,Arizona,78.0,Oregon State,69.0,Mar10
2011,Arizona,67.0,Southern California,62.0,Mar11
2011,Arizona,75.0,Washington,77.0,Mar12
2011,Arizona,77.0,Memphis,75.0,Mar18
2011,Arizona,70.0,Texas,69.0,Mar20
2011,Arizona,93.0,Duke,77.0,Mar24
2011,Arizona,63.0,Connecticut,65.0,Mar26
2011,Arkansas-Little Rock,57.0,Southern Methodist,47.0,Nov12
2011,Arkansas-Little Rock,64.0,St. Bonaventure,77.0,Nov14
2011,Arkansas-Little Rock,108.0,St. Gregory's,58.0,Nov17
2011,Arkansas-Little Rock,63.0,Illinois State,54.0,Nov21
2011,Arkansas-Little Rock,60.0,Oral Roberts,86.0,Nov24
2011,Arkansas-Little Rock,74.0,Louisiana Tech,65.0,Nov26
2011,Arkansas-Little Rock,46.0,Missouri State,80.0,Dec1
2011,Arkansas-Little Rock,69.0,Tulsa,67.0,Dec5
2011,Arkansas-Little Rock,85.0,Philander Smith,58.0,Dec7
2011,Arkansas-Little Rock,70.0,Mississippi,84.0,Dec11
2011,Arkansas-Little Rock,55.0,Rice,65.0,Dec16
2011,Arkansas-Little Rock,52.0,Oral Roberts,49.0,Dec22
2011,Arkansas-Little Rock,75.0,Stetson,50.0,Dec23
2011,Arkansas-Little Rock,69.0,North Texas,81.0,Dec30
2011,Arkansas-Little Rock,70.0,Denver,72.0,Jan2
2011,Arkansas-Little Rock,55.0,St. Bonaventure,68.0,Jan5
2011,Arkansas-Little Rock,76.0,Troy,73.0,Jan8
2011,Arkansas-Little Rock,81.0,Louisiana-Monroe,50.0,Jan13
2011,Arkansas-Little Rock,73.0,Louisiana,68.0,Jan15
2011,Arkansas-Little Rock,78.0,Florida International,70.0,Jan20
2011,Arkansas-Little Rock,71.0,Florida Atlantic,88.0,Jan22
2011,Arkansas-Little Rock,64.0,Arkansas State,75.0,Jan29
2011,Arkansas-Little Rock,75.0,Denver,72.0,Feb3
2011,Arkansas-Little Rock,66.0,Louisiana,67.0,Feb5
2011,Arkansas-Little Rock,61.0,Louisiana-Monroe,53.0,Feb12
2011,Arkansas-Little Rock,59.0,Western Kentucky,61.0,Feb17
2011,Arkansas-Little Rock,62.0,Middle Tennessee,58.0,Feb19
2011,Arkansas-Little Rock,79.0,South Alabama,92.0,Feb24
2011,Arkansas-Little Rock,63.0,Arkansas State,71.0,Feb26
2011,Arkansas-Little Rock,69.0,North Texas,72.0,Mar1
2011,Arkansas-Little Rock,82.0,South Alabama,68.0,Mar5
2011,Arkansas-Little Rock,59.0,Arkansas State,52.0,Mar6
2011,Arkansas-Little Rock,65.0,Middle Tennessee,56.0,Mar7
2011,Arkansas-Little Rock,64.0,North Texas,63.0,Mar8
2011,Arkansas-Little Rock,77.0,North Carolina-Asheville,81.0,Mar15
2011,Arkansas-Pine Bluff,51.0,Colorado State,82.0,Nov13
2011,Arkansas-Pine Bluff,40.0,Nebraska,83.0,Nov15
2011,Arkansas-Pine Bluff,45.0,Northwestern,71.0,Nov19
2011,Arkansas-Pine Bluff,49.0,Stanford,92.0,Nov21
2011,Arkansas-Pine Bluff,63.0,Hawaii,70.0,Nov24
